Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Nimako, Andrea Nelly","M.B., Ch.B. (KNUST-SMS)",Pentecost Hospital,
"Nimako, Belinda Afriyie","M.B., Ch.B (U.G.M.S),M.P.H. (UG),M.G.C.P. (GCPS)",Ghana Health Service,
"Nimako, Boateng","M.B., Ch.B (KNUST-SMS),F.W.A.C.S. (W.A.C.S.)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Nimako, Kojo Twum","M.B., Ch.B (KNUST-SMS)",,"P. O. Box 11671, Accra-North"
"Nindow, Joseph Alphonsus C.","M.B., Ch. B (U.G.M.S),M.P.H (The Johns Hopkins Univ.)",Binde Hospital,"P. O. Box 99, Tamale."
"Ninimiya, Sebastian Yidana","M.B., Ch.B. (KNUST-SMS)",Nandom Hospital,"P. O. Box 15, Nandom , Upper West Reg."
"Ninnang, Tobias Gebhard Dangyi","M.B., Ch.B. (U.G.M.S.)",Holy Family Hospital,"P. O. Box 36, Techiman"
"Nixon, Harold Ricketts","M. B., Ch.B (KNUST-SMS)",Dept. of Radiology,"P. O. Box 77, Korle-Bu, Accra"
"Nixon, Samuel","M.B., Ch.B (U.G.M.S)",Washington Clinic,"P. O. Box 8124, Kumasi."
"Nkansa, Nana Kwame Appiah","M.B., Ch.B (U.G.M.S)",Korle-Bu Polyclinic.,
"Nkansah-Kesse, Emelia",M.D. (Belgorod State Med. Univ.),,
"Nkansah, Gabriel Kwadjo S.","M.B., Ch.B (U.G.M.S)",Central Aflao Hospital,"P. O. Box AF 31, Aflao"
"Nkegbe, Jerry Kwaku",M.D. (Ryazan State Med. Univ.),Coast for Christ Baptist Hospital,
"Nkegbe, Paul Nelson","M.D. (Lvov State Med. Inst., Ukraine)",Finlandia Clinic,"P. O. Box 14, Denu V/R"
"Nketiah, George Bediako","M.B., Ch.B (KNUST-SMS)",Korle-Bu Polyclinic,"P. O. Box 77, Korle-Bu, Accra"
"Nketiah, Linda","M.B., Ch.B (U.G.M.S)",KBTH,
"Nkromah, Kodwo Oduro","M.B., Ch.B (U.G.M.S)",Dept. of Medicine,"P. O. Box 77, Korle-Bu, Accra."
"Nkrumah, Ellis","M.B., Ch.B (KNUST-SMS)",Dept. of Obst/Gyane.,"P. O. Box KS 1934, Kumasi"
"Nkrumah, John Nana","M.B., Ch.B. (UCC-SMS)",Takoradi Hospital,"P. O. Box 7, Takoradi"
"Nkrumah, Kofi Nyaako","M.B., Ch.B. (Univ. of Glasgow, U.K.),M.R.C.P (RCP, UK),D.T.M & H (Univ. of Liverpool),F.R.C.P (RCP, UK)",Dept. of Medicine & Therapeutics,"P. O. Box 4236,"
"Nkrumah, Mathew",M.D. (Kalnin State Med. Inst.),Christ the King Hospital,"P. O. Box 4512, Kumasi"
"Nkrumah, Sam Bright","M.B., Ch.B (KNUST-SMS)",Juaboso Government Hospital,
"Nkum, Bernard Cudjoe","M.B., Ch.B (KNUST-SMS),F.W.A.C.S (WACS)",Diagnosis Center,"P. O. Box KS 1934, Kumasi"
"Nkyerkyer, Kobinah","M.B., Ch.B (UGMS)",U.G.M.S.,
"Nkyi, Clara Appiagyei","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Nomafo, Dickson Dokyi","M.B., Ch. B (UG-SMD),",Dept. Of Anaesthsia,
"Nonterah, Engelbert Adamwaba","M.B., Ch.B. (UDS-SMHS)",Navrongo Health Research Center,"P. O. Box 114, Navrongo"
"Nordor, Gameli Callistus Kojo",B.D.S (U.G.D.S),,"P. O. Box 9311, Airport-Accra"
"Norgbe, Joyce",D.D.S (Friendship State Med. Inst.),University Hospital,"P. O. Box LG 79, Legon, Accra"
"Norgbe, Kwame Gameli","M.D. (Lvov State Med. Inst.),PhD Obst./Gynae. (Sup. Attestation Council,Russia)",University of Health and Allied Sciences,
"Norman, Betty Roberta","M.B., Ch.B (KNUST-SMS)",KATH,"P. O. Box KS 1934, Kumasi"
"Norman, Dartel","M.B., Ch.B (KNUST-SMS)",Holy Family Hospital,"P. O. Box 36, Techiman"
"Normanyo, Kofi Gafatsi","M.B., Ch.B (U.G.M.S)",Hoggar Clinic Ltd.,"P. O. Box AK 41, Akatsi."
"Normeshie, Cornelius Afetorli","M.B., Ch.B (U.G.M.S)",Motherlove Hospital,"P. O. Box Sk 1016, Sakumono Estate"
"Nortey-Adom, Emmanuel Elorm","M.B., Ch.B (U.G.-S.M.D)",Aneeja Hospital,
"Nortey, David Nii Narh","M.D.. (Medical Academy, Poland)",Korle-Bu Polyclinic,
"Nortey, Donald","M.B., Ch.B. (U.G.-S.M.D.)",Korle-Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Nortey, Emily Martha","M.B., Ch.B (UGMS)",Accident Centre,"P. O. Box 77, Korle-Bu, Accra."
"Nortey, Michael","M.B., Ch.B (KNUST-SMS)",Dept of Surgery,"P. O. Box KS 1934, Kumasi"
"Nsaful, Josephine","M.B., Ch.B (UGMS),M.G.C.S. (G.C.P.S.),F.W.A.C.S. (WACS)",Dept of Surgery,
"Nsaful, Kwesi Okumanin","M.B., Ch.B (UGMS)",37 Military Hospital,
"Nsiah-Asamoah, Alberta","M.B., Ch.B. (KNUST-SMS)",Dept. of Psychiatry,"P. O. Box 77, Korle-Bu, Accra"
"Nsiah-Asare, Anthony","M.B., Ch. B. (U.G.M.S),Arzt Fur Chirurgie (Arztekammer Des Saarlandes)",,
"Nsiah-Siawu, Kwabena","M. B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Nsiah, Abena Ofosuhemaa",B.D.S (UG-SMD),Cape Coast Teach. Hospital,"P. O. Box CT 1363, Cape Coast"
"Nsiah, Alice Adobea","M.B., Ch.B. (KNUST-SMS),M.G.C.S (G.C.P.S)",Komfo Anokye Teaching Hospital,"P. O. Box 1934, Kumasi"
"Nsiah, Gabriel Tuah","M.B., Ch.B (U.G.M.S)",Dept. of Family Medicine,"P. O. Box KS 1934, Kumasi"
"Nsiah, Isaac Kwabena Akoto","M.B., Ch.B (UG-SMD)",,"P. O. Box 2471, Mamprobi-Accra"
"Nsiah, Nyarko",M.D (Lugansk State Med. Univ.),BAC 15/1 DTD,
"Nsoh, Lawrence Nsohlebna","M. B., Ch.B. (UDS-SMHS)",Ghana Military Academy,
"Nterful, Emmanuel Louis",M.D (Vitebsk State Med. Inst.),Lighthouse Mission Hospital,
"Nti, Maxwell Kofi","M.B., Ch.B. (KNUST-SMS)",Agona Gov’t Hospital,"P. O. Box KS 15420, Kumasi"
"Nti, Millicent Ankrah","M.B., Ch.B (U.C.C.-S.M.S)",Cape Coast Teaching Hospital,
"Ntiamoah, Caroline Emmanuella","M.B., Ch.B (U.D.S-S.M.H.S)",,"P. O. Box 118, Trade Fair Center, Accra"
"Ntiamoah, Collins",B.D.S (U.G.D.S),Achimota Hospital,
"Ntiamoah, David","M.B., Ch.B (UG-SMD)",,
"Ntiamoah, Prince","M.B., Ch.B (U.G.M.S)",Tarkwa Mining Hospital,
"Ntifo-Siaw, Edward",M.D. (Belgorod State Univ.),International SOS,"P. O. Box CT 14,Cantonments, Accra"
"Ntodi, Paul Kwaw","M.B., Ch.B (U.G.M.S),Dip. in Otorhinolaryngology (WACS)",Effia Nkwanta Regional Hospital,"P. O. Box 229, Sekondi"
"Ntori, Okyere Nyantakyi","M.D. (Donetsk State Med. Inst., Ukraine),Dip. in Obst./Gynae. (Univ. of Dublin),M.P.H (UG)",Cedar Crestcent Hospital,"P. O. Box KS 11068, Adum-Kumasi"
"Ntow-Ababio, Adwoa Nkansaa","M.B., Ch.B. (UCC-SMS)",,
"Ntow-Djan, Elizabeth","M.B., Ch.B (KNUST-SMS)",Korle Bu Teaching Hospital,
"Ntow, Julia Nana Adwoa","M.B., Ch.B (U.G.M.S)",Trust Hospital,
"Ntow, Samuel Kojo","M. B., Ch.B (UG-SMD)",International SOS,
"Ntumy, Michael Yao","M.B., Ch.B (U.G.M.S)",Dept. Of Obst./Gynae. KBTH,"P. O. Box 53, Korle-Bu, Accra."
"Ntumy, Raphael","M.B., ChB (KNUST-SMS),M.P.H (UG)",,"P. O. Box CT 3102, Cantonments, Accra"
"Nuako, Kofi","M.B., Ch.B (Univ. of Ghana),",Advanced Gastro,
"Nuako, Owusu Addai",M.D. (Vitebsk State Medical University),Gary Marvin Memorial Hospital,
"Nuamah, Francis",M.D. (Belgorod State Univ.),International SOS No. 2 Mankata Close,
"Nuamah, Isaac Kwasi","M.B., Ch.B (U.G.D.S)",University of Ghana,
"Nuamah, Nana Akua Dansoah","M.B., Ch.B (U.G.M.S)",Pantang Hospital,"P. O. Box AN 12265, Accra"
"Nubabaare, Cristoe","M.B., Ch.B (U.G.M.S)",Holy Trinity Medical Center,"P. O. Box 50, Nkoranza"
"Nuertey, Augustine Demah-Teye","M.B., Ch.B. (U.G.-S.M.D.)",St. Francis Xavier Hospital,
"Nuertey, Benjamin Demah","M.B., Ch.B (KNUST-SMS),M.P.H. (Univ. of Ghana)",Tamale Teaching Hospital,"P. O. Box TL16, Tamale"
"Nuertey, Joseph Teye","M.D. (Lvov State Med. Inst.),M.P.H (The Hebrew Univ.)",Volta Regional Health Directorate,"P. O. Box 72, Ho"
"Nuhu, Kaamel Mohammed","M.B., Ch.B (U.G.M.S)",2000 Evergreen Terrace Carbondale,
"Numadzi, Obed Kwame","M.B., Ch.B (U.G.-S.M.D.)",,"P. O. Box WY 1621, Kwabenya-Accra."
"Nunoo, Ewura Adjoa Ahimah","M.B., Ch.B (UGMS)",Health Link Clinic,
"Nunoo, Kwamena Fynn","M.B., Ch.B (U.G.M.S),",Finney Hospital and Fertility Centre,"P. O. Box GP 22068,"
"Nuro-Panin, Adwoa Birgit","M.B., Ch.B (KNUST-SMS)",Police Hospital,
"Nutakor, Olena Antolievna","M.D (Kharkov State Med. Inst., Ukraine),Sp. Obst/Gynae (Crimean Med. Inst., Ukraine)",Leonard Mem. Clinic,"P. O. Box CT 1420, Cantonments, Accra"
"Nutakor, Pochatt Kofi","M.D. (Kharkov State Med. Inst, Ukraine),Dip. Gen. Surg. (Crimea S.I. Med. Inst. , Ukraine)",37 Military Hospital,
"Nutsugah, Phyllis Demi","M.B., Ch.B (U.G.M.S)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Nutsuklo, Prudence Kwaku","M.D. (Almaty State Medical Inst, Kazakstan),F.W.A.C.S. (Orthopaed. & Trauma) W.A.C.S.",Accident Centre,"P. O. Box 77, Korle-Bu, Accra"
"Nutsukpui, Mark Cofie","M.B., Ch.B. (U.G.-S.M.D.)",Hohoe Municipal Hospital,
"Nuwor, Moses","M. B., Ch.B. (KNUST-SMS)",,"P. O. Box MD 932 Madina-Accra,"
"Nuworkpor-Gapson, Stephen","M.B., Ch.B (U.G.M.S)",Lucy Memorial Hospital,"P. O. Box AH 176, Accra"
"Nwangere, Eunice","M. B., Ch.B (KNUST-SMS)",,
"Nyabe, Frank Kwasi","M.B., Ch.B (UG-SMD)",Shai-Osu Doku District Hospital,
"Nyabenda-Gomwa, Adoula","M.D. (Medicine-Pharm. of The Univ. of Conakry),Dip. for the Treatment of Burns (Univ. of Paris, France),Gen. Surg. Specialist (Univ. Nat. Du Benin)",Ridge Hospital,"P. O. Box 473, Accra."
"Nyabenda-Gomwa, Nathalie","M.D. (Univ. of Conakry, Guinea),A.F.S (Univ. of Rene Descartes, France),C.F.S Paediatrics (Cotonou, Benin)",Achimota Hospital,
"Nyako, Ebenezer Anno","B.D.S (Univ. of Cairo, Egypt),F.W.A.C.S (WACS),Master of Dental Sciences (Univ. of Leeds)",UGDS,"P. O. Box KB 262, Korle-Bu, Accra"
"Nyama, Akua","M.B., Ch.B. ( UG-SMD)",Princess Marie-Louise Hospital,
"Nyamadi, Akpene Aku","M.B., Ch.B (KNUST-SMS)",Presbyterian Hospital,
"Nyamalor, Susan",B.D.S (U.G.D.S),Port Dental Clinic,"P. O. Box CO 2600, Tema"
"Nyamalor, Yao Victor",B.D.S (Univ. of Lagos),Port Dental Centre,"P. O. Box CO 2600, Tema"
"Nyame, Clement Agyekum","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra."
"Nyame, Kwaku","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Nyame, Paul Kwame","M.B., B.S. (Univ. of London),M.R.C.P (RCP, UK),F.W.A.C.P (WACP),F.R.C.P. (RCP, U.K),F.G.C.P (Foundation Fellow, Ghana College)",,"P. O. Box AN 8150, Accra"
"Nyamekye, Emmanuel Churcher","M.B., Ch.B (U.G.M.S)",Jubail Specialist Hospital,"P. O. Box CO 1640, Tema"
"Nyamekye, Evelyn","M.B., Ch.B. (UG-SMD)",Dept. Of ENT,
"Nyamekye, Richard King","M.B., Ch.B (KNUST-SMS)",KATH Polyclinic,"P. O. Box KS 1934, Kumasi"
"Nyamuame, Sedinam Ivy",M.B.B.S. (Wenzhou Medical University),Royal Specialist Hospital,"P. O. Box MA 236, Ho."
"Nyani, Anthony Kwame","M.B., Ch.B. (KNUST-SMS),",St. Patrick Hospital Offinso,"P. O. Box 170, Maase-Offinso"
"Nyann, Beatrice Irene","M.B., Ch.B (U.G.M.S),M.G.C.P (GCPS),M.W.A.C.P (WACP)",La General Hospital,
"Nyantakyi, Andrew Yaw","M.B., Ch. B. (UCC-SMS)",Cape Coast Teaching Hospital,
"Nyarko-Jectey, Asamoah K.","M.B., Ch.B (KNUST-SMS)",Mampong Municipal Hospital,
"Nyarko-Mensah, Justice G","M.B., Ch.B (U.G.M.S),,,,",New Hope Clinic,"P. O. Box AF 145, Aflao"
"Nyarko-pong, Kofi Sampong","M.B., Ch.B. ( U.G.M.S.)",Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra."
"Nyarko, Alfred","B.D.S (U.G.D.S),M.G.C.S (GCPS)",Dental Dept. ,"P. O. Box KS 1934, Kumasi"
"Nyarko, Ama Sekyiwah Manu","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Nyarko, Charles","M.D (Vinnitsa State Med. Inst., Ukraine)",Kibi Gov’t Hospital,"P. O. Box 8, Kibi"
"Nyarko, Edward Owusu","M.B., Ch.B (KNUST-SMS),M.P.H (UG)",37 Military Hospital,
"Nyarko, Esinam Ama","M.B., Ch.B (KNUST-SMS)",Brong Ahafo Regional Hospitla,
"Nyarko, Hannah Achiaa",M.D (Donetsk Nat. Med. Univ.),St. Martin De Pores Hospital,
"Nyarko, Henry Emmanuel",B.D.S. (KNUST-DS),Manhyia District Hospital,
"Nyarko, Kofi Mensah","M. B., Ch.B (KNUST-SMS),M.P.H (UG),M.G.C.P (GCPS)",School of Public Health,
"Nyarko, Mame Yaa Adobea","M.B., Ch.B (U.G.M.S),M.W.A.C.P. (WACP),F.W.A.C.P (WACP)",Princess Marie Louise Hospital,"P. O. Box GP 122, Accra."
"Nyatepe-Coo, Elliot Etsri","M.B., Ch.B (KNUST-SMS)",,"P. O. Box 12016, Accra- North"
"Nyinah, Maxwell Agyapong","M.B., Ch.B (U.G.M.S)",Cocoa Clinic,"P. O. Box 933, Accra"
"Nyinaku, Philip Asare Annor","M. B., Ch.B (KNUST-SMS),M.P.H (KNUST),MPhil. In Applied Health Social Sc. (UG),M.G.C.P. (G.C.P.S.)",37 Military Hospital,
"Nyuzaghl, Josephat A.-Imwine","M.B., ChB (UGMS),M.P.H. (University of Ghana),M.G.C.P (G.C.P.S.)",Bole District Hospital,
"Obaka, Henry Enajite","M.B., Ch.B (UGMS)",Dept of Surgery,
"Obbeng, Ambe Nana Esi","M.B., Ch.B (UGMS),M.G.C.S. (G.C.P.S.)",Dept of Paed. Surgery,
"Obed, Samuel","M.B., Ch.B (U.G.M.S),F.W.A.C.S (WACS)",Dept. of Obs/Gyn,"P. O. Box 4236, Korle-Bu, Accra"
"Obeng Kyei, Kofi Boakye",M.B. Ch.B (U.C.C.-S.M.S),C/O G.E.S. P,
"Obeng Nkrumah, Samuel","M.B., Ch.B (U.G.M.S)",International SOS Ghana Ltd,
"Obeng-Adjei, Grace-Imelda","M.B., Ch.B (U.G.M.S)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Obeng-Afriyie, Docia Konadu","M.B., Ch.B (KNUST-SMS),MSc. Mother & Childhealth,(Univ. of London),F.G.C.P (GCPS)",,
"Obeng-Asare, Ruth","M.B., Ch.B (KNUST-SMS)",La General Hospital,
"Obeng-Koranteng, Gabrielle","M.B., Ch.B. (KNUST-SMS)",37 Military Hospital Polyclinic,
"Obeng, Alex","M. B. Ch.B (Kuban Med. Sch., Russia)",,"P. O. Box 108, Bibiani"
"Obeng, Arthur Enoch",M.D. (Saratov State Med. Univ.),Holy Family Hospital,"P. O. Box 36, Techiman"
"Obeng, Charles Mensah","M.B., Ch.B (KNUST-SMS)",Dept. of Obst/Gyane.,"P. O. Box KS 1934, Kumasi"
"Obeng, Emmanuel Apori","M.B., Ch.B (U.G.M.S),M.P.H (UG)",Ridge Hospital,"P. O. Box 473, Accra"
"Obeng, Ernestina Nana","M.B., Ch.B. – U.G.M.S.",Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra."
"Obeng, Fordjour","M.B., Ch.B. – U.G.M.S.",SDA Hospital,"P. O. Box KF 2470, Koforidua"
"Obeng, Frank","M.B., Ch.B (U.G.M.S)",Anglogold Ashanti Hospital,"P. O. Box 10, Obuasi"
"Obeng, Gilbert Twum","M.B., Ch.B (KNUST-SMS),M.G.C.S. (GCPS)",SDA Hospital,"P. O. Box 480, Kwadaso-Kumasi"
"Obeng, Kojo Nyarko","M.B., Ch.B (U.G.M.S)",Lighthouse Mission Hospital,"P. O. Box KN 2854, Kaneshie"
"Obeng, Kwadwo Marfo","M.B., Ch.B (U.G.M.S)",Pantang Psychiatric Hospital,"P. O. Box PL81, Legon-Accra"
"Obeng, William Kojo Ansah","M.B., Ch.B (U.G.M.S),M.G.C.P (GCPS)",KBTH,"P. O. Box 77, Korle-Bu, Accra"
"Obese, Vida","M.B., Ch.B (KNUST-SMS)",,"P. O. Box KS 16947, Kumasi"
"Obi, Adaora Brenda-Irene","M.B., Ch.B. (U.G.M.S.)",No. 7 olakekan Campell Street,
"Obiri Akyea, Cornelia","M.B., Ch.B. (KNUST-SMS)",Dept. of Pathology,"P. O. Box KS 1934, Kumasi"
"Obiri-Yeboah, Dorcas","M.B., Ch.B (KNUST-SMS),MSc. Clinical Microbiology (Univ. Of Nottingham)",Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
"Obiri-Yeboah, Kwaku","M. B., Ch.B (KNUST-SMS)",Healthnet Airport Medical Centre,"P. O. Box LG 1276, Accra"
"Obiri-Yeboah, Solomon","B.D.S (U.G.D.S),M.G.C.S (GCPS)",Dental Dept,"P. O. Box KS 1934, Kumasi"
"Oblitey, Jared Nii","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS),F.W.A.C.S. (WACS)",LEKMA Hospital,
"Oblitey, Maame Dufie","M.B., Ch.B (KNUST-SMS)",,"P. O. Box MP 315, Mamprobi, Accra"
"Oblitey, Mary Kordei","M.B., ChB (KNUST-SMS),M.G.C.S (GCPS)",Dept. of Radiology,"P. O. Box KB 77, Accra."
"Obodai, Edna Okaikor","M.B., Ch.B (KNUST-SMS)",Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
"Obodai, Nii Adjah","M. B., Ch.B (KNUST-SMS),Sp. Cert in. Oto-Rhino-Laryngology (Germany)",37 Military Hospital,
"Obro, Barbara Dzifa",M.B. Ch. B (KNUST-SMS),,
"Obu, Ebenezer","M. B., Ch.B (KNUST-SMS)",New Crystal Hospital,
"Ocansey, Alfred John","M.B., Ch.B (KNUST-SMS)",Newlands Medical Centre,
"Ochere, Daniel Yaw","M.D. (Lvov State Med. Inst.,Ukraine)",Danvic Clinic,"P. O. Box MC 583, Takoradi"
"Ocloo, Mathias Doe Kofi","M.D. (Vinnitsa Med. Inst., Ukraine),Master of Trop. Med. (Univ. of Liverpool)",Peki Gov’t Hospital P,"P. O. Box 23, Peki, Volta Region."
"Ocran, Akua Afriyie","M.B., Ch.B (KNUST-SMS),M.G.C.P. (GCPS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Ocran, Ben Kissi","M.D. (Krasnodar Med. Inst., Russia Fed.)",Benoc Clinic,"P. O. Box AX 65, Takoradi"
"Ocran, Edward Ebo","M.B., Ch.B (KNUST-SMS),",Komfo Anokye Teaching Hospital,"P. O. Box KS 9496, Adum"
"Ocran, Henrietta Norkai","M.B., Ch.B (U.G.M.S)",Korle Bu Polyclinic,"P. O. Box 77, Korle-Bu, Accra."
"Odai, Sandra Laryea","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Odame-Adufu, Patience",M.D. (Donetsk Nat’l Med. Univ.),Ridge Regional Hospital,
"Odame-Asiedu, Esther","M.B., Ch.B (KNUST-SMS)",Mamobi General Hospital,
"Odame-Labi, Henry","M.D. (Inst. Med. & Pharm., Romania),Sp. Dip. Pathology (Australian Med. Association),F. Pathology (Australian Med. Association),M. Int. Acad. Cytology (Inst. Aca. Of Cytology)",Primecare Clinic & Medical Centre,"P. O. Box AN 6097, Accra"
"Odame, Abena Buruwaa","M.B., Ch.B (UGMS)",KBTH,"P. O. Box 77, Korle-Bu, Accra"
"Odame, Emmanuel Ankrah","M.B., Ch.B (U.G.M.S),M.G.C.P. (G.C.P.S)",Ministry of Health,"P. O. Box MB 44, Accra"
"Odame, Francis Awuku","M.D. (Jassy Med. Sch., Romania),Sp. Cert. in Dermatology ((Bucharest Med. Sch.)",Cocoa Clinic,"P. O. Box KN,1640, Kaneshie"
"Odame, Frank","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",St. Luke Catholic Church,"P. O. Box 5, Central Region."
"Odame, Gifty Harriet","M.B., Ch.B (KNUST-SMS)",University Hospital,"P. O. Box LG 79, Legon, Accra"
"Oddoye, Adrian Nii Odoi","M.B., Ch.B (U.G.M.S)",Akai House Clinic,"P. O. Box OS 01952, Osu, Accra"
"Oddoye, Hamish Vivian Ako","M.B., Ch.B (U.G.M.S)",Lighthouse Mission Hospital,
"Odei-Ansong, Francis","M.B., Ch.B (U.G.M.S)",Korle Bu Teaching Hospital,"P. O. Box KB 77, Accra."
"Odei, Eric","M.B., Ch.B (U.G.M.S),M.P.H (U.G),M.G.C.P (GCPS)",Public Health Unit,"P. O. Box 77, Korle-Bu, Accra"
"Odemey, Solomon",B.D.S. (UG-SMD),c/o New Life Church,"P. O. Box MP 4253,"
"Odiko-Ollennu, Wallace Ashitey",B.D.S (U.G.D.S),Manhyia District Hospital.,
"Odjidja, Tetteh Larno","M.B., ChB (UGMS),MSc. In Occupational Medicine (UG)",Tema General Hospital,"P. O. Box 14, Tema"
"Odoi-Agyarko, Ama","B.D.S.(U.G.D.S.),M.D..S Orthond. (Ryazan State I.P. Pavlov Med. Univ.)",Komfo Anokye Teaching Hospital,"P. O. Box KS1934, Kumasi"
"Odoi-Agyarko, Edward Kwasi","M.B., Ch.B (U.G.M.S)",,"P. O. Box 134, Mampong-Akwapim"
"Odoi, Alexander Tawiah","M. B., Ch.B (KNUST-SMS),F.W.A.C.S (WACS)",Komfo Anokye Teahing Hosital,
"Odoi, Lily Naa Djamah","M.B., Ch.B. (KNUST-SMS)",K.A.T.H. Polyclinic,"P. O. Box 1934, Kumasi"
"Odonkor, Emmanuel Nii Amarh","M.B., Ch.B (U.G.M.S)",Dept of Child Health,"P. O. Box 77, Korle-Bu, Accra."
"Odonkor, James Nii Noi","M.B., Ch.B (UGMS),M.R.C.S (RCS, Edinburg)",Ridge Hospital,"P. O. Box 473, Accra"
"Odum, Kweku Anan","M.D.. (Univ. Of Heidelberg),Sp. Cert.In Urology (Arztekamer Niedersach.,Honnover)",Christiana Adcock and Sons Christian Hospital,"P. O. Box 6,"
"Oduro-Adjei, Eric","M.B., Ch.B. (KNUST-SMS)",Obuasi SDA Hospital P,
"Oduro-Afriyie, Angela","M.B., Ch.B (U.G.M.S)",La General Hospital,
"Oduro-Baah, Mary",M.D. (Kursk State Med. Univ.),Pentecost Hospital,"P. O. Box GP 20790, Accra"
"Oduro-Boateng, Collins Yeboah",M.D. (Donetsk Nat’l Med. Univ.),St. Luke Hospital,"P. O. Box 1352, Kumasi"
"Oduro-Boateng, John","M.B., Ch.B (U.G.M.S)",St. Luke’s Hospital,"P. O. Box 1352, Ejura, Kumasi"
"Oduro-Boateng, Kwame Fobi",M.D. (Donetsk Nat’l Med. Univ.),St. Luke Hospital,
"Oduro-Boatey, Collins","M.B., Ch.B (UGMS),F.W.A.C.P (WACP)",Dept. of Child Health,
"Oduro-Donkor, Dominic","M.B., Ch.B (UCC-SMS)",Cape Coast Teach. Hospital,"P. O. Box CT 1363, Cape Coast"
"Oduro-Kwarteng, Harriet","M.B., Ch.B (U.G.- S.M.D)",C&J Medicare Hospital,
"Oduro-Mensah, Ebenezer","M.B., Ch.B (U.G.M.S),M.G.C.P (GCPS),M.W.A.C.P (WACP)",Ridge Hospital,"P. O. Box 473, Accra"
"Oduro, Abraham Rexford","M.B., Ch.B (KNUST-SMS),MSc. Medicine (Univ. of Witwaterrand, J’burg, SA),PhD in Epidemiology Disease Ctrl (Univ. Of London)",Navrongo Health Research Centre,"P. O. Box 114, Navrongo"
"Oduro, Augustine Kenneth Yaw",M.D. (St. Petersburg State Med. Academy),Ridge Regional Hospital,
"Oduro, Frederick","M.B., Ch.B (KNUST-SMS)",Dept. of Obs/Gyn,"P. O. Box 77, Korle-Bu, Accra"
"Oduro, George Darkwa","M.B., Ch.B (U.G.M.S),F.R.C.S. (Royal Coll. Of Phy. & Surg., Glascow),Fac. Of A & E Med. Of UK, Royal Coll. (FEAEM)",",,",
"Oduro, Joseph","M.B., Ch.B (KNUST-SMS),M.P.H (UG)",Kropo Charity Hospital,"P. O. Box SE 2751, Suame, Kumasi"
"Oduro, Kumi Frederick","M.B., Ch.B (UDS-SMHS)",Goaso Municipal Hospital,
"Oduro, Kwasi Appea","M.B., Ch.B (U.G.M.S)",St. Dominic’s Hospital,"P. O. Box 59, Akwatia"
"Oduro, Nana Essuman","M.B., Ch.B (U.G.M.S)",St. Francis Xavier Hospital,"P. O. Box 43, Assin Fosu"
"Oduro, William Ntiamoah","M.D. (Univ. Of Michigan),Fellow American Board of Obs/Gyn (A.B of Obs/Gyn)",,"P. O. Box OS 1984, Osu, Accra"
"Odzor, Edem Kojo","M.B., Ch.B (KNUST-SMS),F.W.A.C.S. (W.A.C.S.)",37 Military Hospital,
"Ofei, Francis","M. B., Ch.B (KNUST-SMS)",Police Hospital,
"Offeh, Jeffrey Sakyi","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 5335, Kumasi"
"Offei-Awuku, Beth","M.B., Ch.B (KNUST-SMS),Dip. in Anaesthesia, (WACS)",Winneba Clinic,
"Offei-Larbi, Gordon","M.B., Ch.B (KNUST-SMS),M.G.C.S.(GCPS)",National Cardiothoracic Center,
"Offei, Aaron","M.B., Ch.B (U.G.M.S),MSc. Comm. Health in Dev. Countr. (Univ. Of London)",Ashanti Regional Health Directorate,
"Offei, Kwasi Owusu","M.B., Ch.B (UGMS)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Ofori Addo, Dorothy","M.B., Ch.B. (UDS-SMHS),",Emmanuel Eye Medical Centre,
"Ofori-Adjei, David","M.B., Ch.B (U.G.M.S),M.R.C.P (RCP, UK)",,"P. O. Box MB 429, Miniseries, Accra"
