n,name,street address,postal_address,road,ghana_gps_address,locality/area,district,region,country,latitude,longitude,rating,local_phone_number,international_phone_number,website,google_maps_url,type,photo_link,
291,Lighthouse Mission Hospital,Off Amar Koranten Street,,,,Off Amar Koranten Street,,Greater Accra Region,Ghana,5.5876592,-0.2314639,4.4,302235710,+233302235710,Http://Www.Lighthousemissionhospital.Org/,Https://Maps.Google.Com/?Cid=4282435960784090092,Hospital,,
293,"Champion Divine Clinic, Tantra",Tantra St Accra Ghana,,,,Tantra Street Accra,,Greater Accra Region,Ghana,5.5783067,-0.2300043,4.5,244847090,,,Https://Maps.Google.Com/?Cid=2407105417259220205,Hospital,,
294,Advanced Body Sculpt Centre,Accra - Cape Coast Rd Ghana,,Accra - Cape Coast Road,,Close to Weija Junction Bus Stop,,,Ghana,5.5559814,-0.304129,4.8,237077777,+233237077777,Http://Www.Advancedbodysculptcenter.Com/,Https://Maps.Google.Com/?Cid=4278632639182791579,Hospital,,
296,Holy Trinity Medical Centre,"North Kaneshie-Swanlake, Accra",,,,"North Kaneshie-Swanlake, Accra",,Greater Accra Region,Ghana,5.5864649,-0.2350433,4,302233506/0270315160/0262315061/0302252800,+233302233506,https://clinic.holytrinity.com.gh/contact/,Https://Maps.Google.Com/?Cid=17277672694328683986,Hospital,,
297,Sanford World Clinic Kasoa,"Akweley Road- Colomba Junction, Kasoa CP",,Akweley Road Colomba Junction-Kasoa Kasoa,,"Colomba Junction-Kasoa
Kasoa, CP",,Central Region Ghana,Ghana,5.556121,-0.446238,,312297391,+233312297391,https://www.sanfordhealth.org/locations/sanford-world-clinic-kasoa,Https://Maps.Google.Com/?Cid=14315657148859220422,Hospital,,
298,Agbeve Herbal Hospital,"Sowutuom Last Stop, Accra",,,,"Sowutuom Last Stop, Accra",,Greater Accra Region,Ghana,5.6244799,-0.283547,3.6,208130790,+233208130790,,Https://Maps.Google.Com/?Cid=3130752209846443139,Hospital,,
300,Marie Stopes Ghana Kokomlemle Centre,18 Mensah Saba Road                                                                                                                                                                                                                Block Number C900/4 ( Adjacent TeleData ICT),,"Mensah Saba Rd, Kokomlemle",,"Mensah Saba Rd, Kokomlemle",,Greater Accra Region,Ghana,5.57759,-0.207936,3.9,302208585/0800208585,+233302241514,Http://Www.Mariestopes.Org/,Https://Maps.Google.Com/?Cid=8566780014934167822,Hospital,,
304,Greenhand Clinic,Greenhand Street Accra Ghana,,,,Greenhand Street,,Greater Accra Region,Ghana,5.583062,-0.229091,4.5,208133773,+233208133773,,Https://Maps.Google.Com/?Cid=14395019224897181833,Hospital,,
305,Loving Life Chinese Clinic,Accra Ghana,,,,Accra,,Greater Accra Region,Ghana,5.54833,-0.232899,4.5,242107094,+233242107094,,Https://Maps.Google.Com/?Cid=5675715223520012377,Hospital,,
308,Central Regional Health Directorate,"Beulah Rd, Cape Coast Ghana",,Beulah Road Cape Coast,,,,Central Region Ghana,Ghana,5.101839,-1.270883,4,546055709,+233546055709,,Https://Maps.Google.Com/?Cid=7366044383420127342,Hospital,,
309,Race Course Clinic,Sowutoum Ghana,,,,Sowutoum,,Greater Accra Region,Ghana,5.6156096,-0.2737496,1,,,,Https://Maps.Google.Com/?Cid=5253036063755166740,Hospital,,
310,Lakeside Clinic,"Mukose Link, North Industrial Area",,"Mukose Link, North Industrial Area",,North Industrial Area,,Greater Accra Region,Ghana,5.5923294,-0.2311253,4,302230496/0302253902,,,Https://Maps.Google.Com/?Cid=15404386818323923037,Hospital,,
311,Peace Clinic,"Kpakpo Mankralo St, Mataheko",,"Kpakpo Mankralo St, Accra ",,"Kpakpo Mankralo St, Mataheko",,Greater Accra Region,Ghana,5.566173,-0.2474,3.3,248921521,+233248921521,,Https://Maps.Google.Com/?Cid=13558951618560379161,Hospital,,
312,Lapaz Community Hospital Main,"Off- New Market Road, 3rd Dzani Kofi Street",P.O. Box 2366 Osu,"Off- New Market Road, 3rd Dzani Kofi Street",,"Off- New Market Road, 3rd Dzani Kofi Street",,Greater Accra Region,Ghana,5.608896,-0.253659,3.9,501606507/0540192894/0302414167,+233302414167,http://www.lapazcommunityhospital.org/,Https://Maps.Google.Com/?Cid=12043833948325355740,Hospital,,
313,Odorna Medical Centre,Adama Ave Accra,P.O Box 16623 Accra-North Adabraka,,,Adama Avenue Accra,,Greater Accra Region,Ghana,5.565152,-0.215269,3.8,302220046,+233302220046,,Https://Maps.Google.Com/?Cid=11790001911187868562,Hospital,,
315,Aneeja Hospital,"Thyme Avenue, Accra ",,,,Thyme Avenue Accra,,Greater Accra Region,Ghana,5.641506,-0.260004,3.4,302411491,,,Https://Maps.Google.Com/?Cid=2672689104840855954,Hospital,,
319,Ghana Institute Of Clinical Genetics (Sickle Cell Clinic) Kbth,Ashiedu Keteke Sub-Metro Accra Ghana,,,,Ashiedu Keteke Sub-Metro Accra,,Greater Accra Region,Ghana,5.5381171,-0.2235061,,,,,Https://Maps.Google.Com/?Cid=15272109771114729343,Hospital,,
321,St Thomas Eye Hospital,"​Mataheko Flamingo, Near Faith Cathedral","P. O Box SK 743, SAKUMONO","​Mataheko Flamingo, Near Faith Cathedral",,Mataheko,,Greater Accra Region,Ghana,5.562223,-0.248303,4.3,543418241/0246866580/0246758483,+233246758483,Http://Www.Stthomaseyehospital.Com/,Https://Maps.Google.Com/?Cid=1310281113780227981,Hospital,,
325,West End Hospital,"West End Hospital Bypass, Kumasi",P.O Box 4368 Kumasi,,,Patasi Estate,,Ashanti Region Ghana,Ghana,6.6834956,-1.6439822,4.5,322022590/0208124847,+233322022590,,Https://Maps.Google.Com/?Cid=16984270311849580792,Hospital,,
326,Trustcare Specialist Hospital And Fertility Centre,Kumasi Ghana,"P .O. Box KS14214 , Kumasi",,,"South Suntreso, Near Ghana Water Company and Adjacent the South Suntreso Pentecost Church",,Ashanti Region Ghana,Ghana,6.6905341,-1.639915,4.2,322034421/0208181056,+233208181056,Http://Trustcaregh.Com/,Https://Maps.Google.Com/?Cid=8374932372758520219,Hospital,,
330,Ruma Fertility Hospital,"YB 254 Asuoyeboah I.P.T., Dechiemoso Road",,Dechiemoso Road,,Opposite Giveway Hotel,,Ashanti Region Ghana,Ghana,6.690958,-1.674368,4.5,269987479/0208160544/0206355476/,+233208160544,Http://Www.Rumaivf.Com/,Https://Maps.Google.Com/?Cid=10609427641731680684,Hospital,,
333,Komfo Anokye Teaching Hospital,"57 Bantama Rd, Kumasi, Ghana",,Okomfo Anokye Road Kumasi,,,,Ashanti Region Ghana,Ghana,6.6972231,-1.6287204,4,322022301/0322022302,+233322022301,Http://Www.Kathhsp.Org/,Https://Maps.Google.Com/?Cid=17616547479860087075,Hospital,,
334,County Hospital,Kumasi Ghana,,,,Kumasi,,Ashanti Region Ghana,Ghana,6.725997,-1.661053,4.6,322029132,+233322029132,,Https://Maps.Google.Com/?Cid=13693995314426199720,Hospital,,
336,Marie Stopes Ghana Alabar Centre,"KMA Shopping Centre, Zongo Road, Kumasi",,Zongo Road Kumasi,,"KMA Shopping Centre, Zongo Road, Kumasi",,Ashanti Region Ghana,Ghana,6.6982993,-1.6144137,3.8,322000502,+233322000502,Http://Www.Mariestopes.Org/Gh,Https://Maps.Google.Com/?Cid=15471752657207040171,Hospital,,
337,Asafo-Agyei Hospital,Old Bekwai Road Plot 17 Via Ahodwo,Post Office Box KS 41,Old Bekwai Road,,Ahodwo,,Ashanti Region Ghana,Ghana,6.641904,-1.6191035,5,322022412/0322029268/0244365659/0208116284,,,Https://Maps.Google.Com/?Cid=18197867821215609919,Hospital,,
338,Peace And Love Hospital,,,,,Odoum - Kumasi,,Ashanti Region Ghana,Ghana,6.690831,-1.674342,3.8,244145064/02440991407/0208168513 ,+233244145064,http://www.breastcareinternational.org/index.php/contact,Https://Maps.Google.Com/?Cid=6232457509866738888,Hospital,,
341,Cocoa Clinic,Guggisburg Road Kumasi Ghana,,Guggisburg Road Kumasi,,,,Ashanti Region Ghana,Ghana,6.6839188,-1.6165409,4.5,322080497,+233322080497,,Https://Maps.Google.Com/?Cid=4395362371251846338,Hospital,,
342,Asafo-Boakye Specialist Hospital,No. 10 Asafo-Boakye Street,,,,Ahenema Kokoben,,Ashanti Region Ghana,Ghana,6.62816,-1.648087,4.9,322002982/0502292929/0504845777,+233322002982,https://www.asafoboakyehsp.com/,Https://Maps.Google.Com/?Cid=294203848299807947,Hospital,,
343,Herbal Technology (Kumasi),Kumasi Ghana,,,,"Ahinsan Estate, Near youth Center, Kumasi",,Ashanti Region Ghana,Ghana,6.6701568,-1.5941092,3,282123456,+233282123456,http://herbaltechnology.org/home/,Https://Maps.Google.Com/?Cid=878298659454667728,Hospital,,
345,Anwiam Clinic Annex,Kumasi Ghana,,,,Kumasi,,Ashanti Region Ghana,Ghana,6.692308,-1.597454,3.8,322394264,+233322394264,,Https://Maps.Google.Com/?Cid=2382280849916988467,Hospital,,
347,Suame Nkwanta Clinic,West End Hospital Bypass Kumasi Ghana,,,,West End Hospital Bypass Kumasi,,Ashanti Region Ghana,Ghana,6.6787787,-1.6434163,3.7,322026088,,,Https://Maps.Google.Com/?Cid=7764827687575923980,Hospital,,
349,First Care Specialist Hospital,Kumasi Ghana,,,,Santaasi- Roundabout Area,,Ashanti Region Ghana,Ghana,6.673201,-1.647077,4,204312000,+233204312000,Http://Www.Firstcarehospital.Com/Contact-Us,Https://Maps.Google.Com/?Cid=15440402769477257079,Hospital,,
351,Valerian Herbal & Skin Care Clinic,Kentinkrono-T Junction,,,,Kentinkrono-T Junction,,Ashanti Region Ghana,Ghana,6.6927391,-1.5542597,3.7,544106890/0543037191/0505405464,+233544106890,,Https://Maps.Google.Com/?Cid=10239887220300805458,Hospital,,
352,Church Of Christ Mission Clinic,"Plt 72 Blk C, Bible College Lane Bomso",,"Plt 72 Blk C, Bible College Lane Bomso",,Bomso Clinic Area Kumasi,,Ashanti Region Ghana,Ghana,6.685689,-1.579232,,322029569/0322082634,,,Https://Maps.Google.Com/?Cid=8126401587582067797,Hospital,,
353,Magazine Clinic,"Bekwai Roundabout, Kumasi",,Bekwai Road Kumasi,,,,Ashanti Region Ghana,Ghana,6.693256,-1.635946,,243469230,+233243469230,,Https://Maps.Google.Com/?Cid=14661473711342292650,Hospital,,
355,Naas Nails Clinic,"Off Sunyani Road, Kumasi",,"Off Sunyani Road, Kumasi",,Kumasi,,Ashanti Region Ghana,Ghana,6.6978599,-1.6588477,4,,,,Https://Maps.Google.Com/?Cid=3071199118620279605,Hospital,,
357,Dinpa Natural Health Clinic,Dichemso Rd Kumasi Ghana,,Dichemso Road Kumasi,,,,Ashanti Region Ghana,Ghana,6.709703,-1.613324,,245118434/0507477747,+233245118434,http://dinpanatural.org/index.php,Https://Maps.Google.Com/?Cid=9267931337560728768,Hospital,,
358,Paks Ear Nose And Throat Hospital,Kwadaso Kumasi Ghana,,,,Kwadaso near Paulkan Hotel or Papa Kwasi Junction,,Ashanti Region Ghana,Ghana,6.690406,-1.649162,,208114890/ 0278114890,+233208114890,http://paksenthospital.org/,Https://Maps.Google.Com/?Cid=9510291742308735158,Hospital,,
359,Metro Health Clinic,Adoato Kumasi Ghana,,,,Adoato Kumasi,,Ashanti Region Ghana,Ghana,6.7085165,-1.6375135,5,0504607888/0322089675/0261284851/0322025531,+233322089675,http://metrohealthgh.com/,Https://Maps.Google.Com/?Cid=17256818231029430725,Hospital,,
360,Allen Clinic,Ahinsan Estate Kumasi Ghana,,,,Ahinsan Estate Kumasi,,Ashanti Region Ghana,Ghana,6.670904,-1.588679,,208116759/0243581148,,,Https://Maps.Google.Com/?Cid=16915266142590136760,Hospital,,
361,Sunshine Eye Clinic,"Samuel Sarpong Drive, Kumasi ",,,,"Samuel Sarpong Drive, Kumasi",,Ashanti Region Ghana,Ghana,6.6860103,-1.6414153,,266693334/0243166946/0244821652,+233266693334,,Https://Maps.Google.Com/?Cid=16543596084586189184,Hospital,,
362,Wood Village Clinic,"Daban, Kumasi Ghana","P.O BOX 4526, Sokoban, Kumasi",,,"Daban, Kumasi",,Ashanti Region Ghana,Ghana,6.61917,-1.606908,,545866457/0244942700/ 0208114818,+233545866457,,Https://Maps.Google.Com/?Cid=12009506320922953080,Hospital,,
363,Palmer Clinic,"Dr. Osei Tuffour Bypass, Kumasi",,,,Doctor Osei Tuffour Bypass Kumasi,,Ashanti Region Ghana,Ghana,6.669301,-1.6273636,,5129071,,,Https://Maps.Google.Com/?Cid=11481905715120427871,Hospital,,
364,Happy Day Maternity Clinic,"Kronom, Kumasi ",,,,"Kronom, Kumasi",,Ashanti Region Ghana,Ghana,6.755755,-1.6446816,,277458810,,,Https://Maps.Google.Com/?Cid=10516397427055752918,Hospital,,
365,Mary Pomaa Memorial Clinic,Dr K Addo Kuffour Avenue,,,AK-092-4449,Dakodwom Kumasi,Kumasi,Ashanti Region Ghana,Ghana,6.6872992,-1.6374404,5,244460970,+233244460970,,Https://Maps.Google.Com/?Cid=9600106330212624974,Hospital,,
366,Maba Clinic,"Nana Kwaku Duah Drive, Kumasi",,,AG-0661-4048,"Apere,Kumasi",Atwima Kwanwoma,Ashanti Region Ghana,Ghana,6.6333379,-1.6645484,,,,,Https://Maps.Google.Com/?Cid=7605350417910298254,Hospital,,
367,Magine Clinic,"Dr K Addo Kuffour Avenue, Kumasi",,,AK-060-7979,"Bekwai Roundabout, Kumasi",Kumasi,Ashanti Region Ghana,Ghana,6.6931364,-1.6358608,,243469230,+233243469230,,Https://Maps.Google.Com/?Cid=5204779792445569506,Hospital,,
368,Prince Emmanuel Clinic,"Old Tafo, Kumasi",,,AK-206-1820,"Old Tafo, Kumasi",Kumasi,Ashanti Region Ghana,Ghana,6.7399201,-1.6161449,,242938421,+233242938421,,Https://Maps.Google.Com/?Cid=434311584497728583,Hospital,,
369,Abirem New Town Clinic,"Brofoyeduru, Kumasi ",,,AD-287-6771,"Brofoyeduru, Kumasi",Kwabre East,Ashanti Region Ghana,Ghana,6.7467025,-1.5510435,5,,,,Https://Maps.Google.Com/?Cid=256248336575207509,Hospital,,
370,Ahodwo Clinic,"Owusu-Ansah Ave, Kumasi",,,AK-371-7538,Kumasi,Kumasi,Ashanti Region Ghana,Ghana,6.6598375,-1.6180694,4,,,,Https://Maps.Google.Com/?Cid=1921398201904362189,Hospital,,
371,Kumasi South Hospital,"Asor Yaa Road, Agogo, Kumasi",,,AK-498-8051,Agogo Kumasi,Kumasi,Ashanti Region Ghana,Ghana,6.6514291,-1.5864236,3.3,322029272//0244528502,+233322029272,,Https://Maps.Google.Com/?Cid=4187961308929843799,Hospital,,
372,"Trinity Hospital, Kumasi","300 Mampong Rd, Kumasi",,,AK-265-6953,"Pankrono, Kumasi",Kumasi,Ashanti Region Ghana,Ghana,6.7459007,-1.6093725,4.3,266908808,+233266908808,,Https://Maps.Google.Com/?Cid=10187387818863885098,Hospital,,
374,"Church Of God Clinic, Kumasi","Afua Ampomah Street, Kumasi",,,AK-365-6265,"Sokoban, Essienimpong Off Ejisu- Kwadaso Road, Kumasi",Kumasi,Ashanti Region Ghana,Ghana,6.661038,-1.64112,4,243214755/0244638029/05126090,+233243214755,,Https://Maps.Google.Com/?Cid=10855227156405041322,Hospital,,
375,Nykon Healthcare Ltd.,"250 West End Hospital Bypass, Kumasi ",,,AK-127-0169,"250 West End Hospital Bypass, Kumasi",Kumasi,Ashanti Region Ghana,Ghana,6.688175,-1.643859,5,206827677,+233206827677,Http://Nykonhealthcare.Com/,Https://Maps.Google.Com/?Cid=946095136591618985,Hospital,,
376,"S.D.A. Hospital, Asuoyeboa ","224 Sunyani Rd, Kumasi",,,AK-285-7328,Asuoyeboa,Kumasi,Ashanti Region Ghana,Ghana,6.6998308,-1.6585922,3.9,322032618,+233322032618,,Https://Maps.Google.Com/?Cid=2569817895647390104,Hospital,,
378,Daska Dental Clinic,"115 Melcom Road, Kumasi",,"115 Melcom Road, Kumasi",AK-370-5099,,Kumasi,Ashanti Region Ghana,Ghana,6.6580649,-1.6191765,1,261406060,+233261406060,,Https://Maps.Google.Com/?Cid=10397850330213104415,Hospital,,
379,"Dr Fokuo Clinic, Kumasi",Pakyi No. 1 Ghana,,"Mankessim - Kumasi Rd, Pakyi No. 1",AW-4017-3809,Pakyi No. 1,,Ashanti Region Ghana,Ghana,6.5462141,-1.6736397,,,,,Https://Maps.Google.Com/?Cid=5652975296931973592,Hospital,,
380,Komfo Anokye Hospital,57 Bantama Rd Kumasi Ghana,,57 Bantama Road Kumasi,AK-034-7375,Bantama,Kumasi,Ashanti Region Ghana,Ghana,6.6974386,-1.6316199,3.8,322022302,+233322022302,Http://Www.Kathhsp.Org/,Https://Maps.Google.Com/?Cid=3897917568247281246,Hospital,,
381,New Hope Specialist Eye Center,"Victoria Opoku-Ware Road, Kumasi",P. O. Box 13904,P. O. Box 13904 Victoria Opoku-Ware Road Kumasi,AK-060-8583,,Kumasi,Ashanti Region Ghana,Ghana,6.6933309,-1.6355735,4.5,264364340,+233264364340,,Https://Maps.Google.Com/?Cid=14776135648634812542,Hospital,,
382,Charity Eye Care Center,"Fobi Odenho Road, Kumasi",,"Fobi Odenho Road, Kumasi",AK-291-5785,,Kumasi,Ashanti Region Ghana,Ghana,6.6709131,-1.6547972,4,244035108,+233244035108,,Https://Maps.Google.Com/?Cid=1632346309978696604,Hospital,,
383,"Abetifi Clinic, Kwahu",Abetefi Ghana,,,EH-0003-1821,Abetefi,,Eastern Region Ghana,Ghana,6.6770593,-0.7447529,4.2,,,,Https://Maps.Google.Com/?Cid=14267532920756783213,Hospital,,
385,St. Theresah Clinic,"R62 Akroso, Winneba - Akim Oda Rd",,"Winneba - Akim Oda Rd, Akroso",EB-1810-4175,R62 Akroso,Birim Central,Eastern Region Ghana,Ghana,5.7674827,-0.7706952,,0244419875/08191137,,,Https://Maps.Google.Com/?Cid=10583211666931789205,Hospital,,
386,"TopMed Healthcare, Atibie","Hse No. AT 141, Atibie-Kwahu",,,EI-0122-0395,Opposite Atibie Palace,Kwahu South,Eastern Region Ghana,Ghana,6.586,-0.736385,5,208116419/0302974275/0501394191,+233208116419,https://topmedghana.business.site/,Https://Maps.Google.Com/?Cid=4765447628911056461,Hospital,,
387,The Salvation Army Clinic,Oda - New Abirem Rd,,,ED-1751-8224,Akim Wenchi,Denkyembour,Eastern Region Ghana,Ghana,5.9943725,-0.926036,,242837959,,,Https://Maps.Google.Com/?Cid=12923191443523450005,Hospital,,
389,Focos Orthopaedic Hospital,"8 Teshie Street, Pantang West, Pantang West",,,GM-120-7480,"Behind Pantang Psychiatric Hospital, Near WAEC Office",La Nkwantanang-Madina,Greater Accra Region,Ghana,5.727213,-0.185279,4.4,302215900,+233302215900,http://focoshospitalgh.com/,Https://Maps.Google.Com/?Cid=18353948490570135987,Hospital,,
391,Notre Dame Clinic,"Nsawam Road, Nsawam",,"Nsawam Road, Nsawam",EG-038-9532,Adeiso Road/Sabo-Zongo/Adoagyiri,Nsawam Adoagyiri,Eastern Region Ghana,Ghana,5.8186634,-0.3589077,,205843789/0244653956/083222162,+233205843789,,Https://Maps.Google.Com/?Cid=12416685317780663499,Hospital,,
393,Amanfro Clinic,"Off Adenta Dodowa Road, Amrahia ",,Off Adenta Dodowa Road,GD-206-2599,  ,,Greater Accra Region,Ghana,5.7550544,-0.1426033,,,,,Https://Maps.Google.Com/?Cid=12627464901579963165,Hospital,,
394,Kwayisi Christian Herbal Clinic,"Kwasi Komfo-Odumase Rd, Apedwa",,,EE-0828-3500,Apedwa,East Akim,Eastern Region Ghana,Ghana,6.1100744,-0.4879916,,,,,Https://Maps.Google.Com/?Cid=2750144396879885438,Hospital,,
395,St. John Of God Clinic,"R40, Amrahia, Ghana",,,GM-207-7980,Amrahia,La Nkwantanang-Madina,Greater Accra Region,Ghana,5.7721938,-0.1401615,4,241149459,+233241149459,,Https://Maps.Google.Com/?Cid=15732797403667149194,Hospital,,
396,Kom Presbyterian Clinic,"N4, Aburi",,,E3-012-0956,Aburi,Akuapem South,Eastern Region Ghana,Ghana,5.8564976,-0.1702619,4,277428026,,,Https://Maps.Google.Com/?Cid=6230071038602349143,Hospital,,
397,Health For All Herbal Clinic,,Box AS 35 Oworam-Asamankese,,EW-0992-1747,Box AS 35 Oworam-Asamankese,,Eastern Region Ghana,Ghana,5.9414635,-0.6055727,4,208113907/0208153438/0342191539,+233208113907,,Https://Maps.Google.Com/?Cid=2769611887874284373,Hospital,,
398,M&D Clinic,Nsawam Rd Medie Ghana,,Nsawam Road Medie,GW-0407-1795,"Amasaman, Medie",Ga West,Greater Accra Region,Ghana,5.7550027,-0.3224521,,302939939,+233302939939,,Https://Maps.Google.Com/?Cid=8403118293763638057,Hospital,,
401,Sweden Ghana Medical Centre,East Legon Hills,P. O. Box MD 1879 Madina Accra,,GK-0859-4228,"East Legon Hills, Katamanso near Nmai Djorn, East Legon",Kpone Katamanso,Greater Accra Region,Ghana,5.7249013,-0.1148611,4.5,262253328/0506735186/0307032133,+233262253328,http://www.sgmccancercentre.com/,Https://Maps.Google.Com/?Cid=4924155659300203166,Hospital,,
406,"Atlantis Clinic, Tema","Kpone Barrier Rd, Tema",,,GK-0186-9487,Tema,,Greater Accra Region,Ghana,5.718542,0.008727,,241273445,+233241273445,,Https://Maps.Google.Com/?Cid=13712029286098482090,Hospital,,
410,Kojo Ashong Community Clinic,Kojo Ashong,,,GW-1242-9194,Kojo Ashong,Ga West,Greater Accra Region,Ghana,5.7188482,-0.4001537,2,277313105,,,Https://Maps.Google.Com/?Cid=8125098294449162696,Hospital,,
412,Tetteh Quarshie Memorial Hospital,"N4, Mampon",,,E2-0607-4010,Mampong,Akuapem North,Eastern Region Ghana,Ghana,5.9218582,-0.1329098,4,245729086/0206300881,+233245729086,,Https://Maps.Google.Com/?Cid=187896655399638663,Hospital,,
414,Osiem Community Clinic,"A23 Koforidua-Nsutam Rd, Oseim",,,EE-1824-8382,Osiem near Awoye,East Akim,Eastern Region Ghana,Ghana,6.2530297,-0.4274595,,242805848,,,Https://Maps.Google.Com/?Cid=1513248220817033622,Hospital,,
415,Medicas Hospital,"N4, Mampon",,,E2-0890-5025,Mampon,Akuapem North,Eastern Region Ghana,Ghana,5.904561,-0.145965,4.3,501477343,+233501477343,http://www.medicasgh.com/,Https://Maps.Google.Com/?Cid=9298276102268337827,Hospital,,
416,Adweso Clinic,Koforidua-Aburi Dual Carriage Streets,,,EN-115-8008,Koforidua,New Juaben,Eastern Region Ghana,Ghana,6.0655091,-0.2524147,3,342093575/0208527722,+233342093575,,Https://Maps.Google.Com/?Cid=2376610126939953669,Hospital,,
422,"St Dominic Hospital, Akwatia ",Boadua- Akwatia,,,ED-0050-7041,Bawdua,,Eastern Region Ghana,Ghana,6.035572,-0.800839,4.8,243304436/0243559076,,,Https://Maps.Google.Com/?Cid=13970333292353318096,Hospital,,
423,"SDA Hospital, Koforidua","Nsukwao House No. NK/B112,Koforidua","P.O. Box KF 2470, Koforidua",,EN-012-8286,Koforidua,New Juaben,Eastern Region Ghana,Ghana,6.0959937,-0.2657901,4.5,342090145/0208163554/0289108658,+233342090145,,Https://Maps.Google.Com/?Cid=8507854643925479513,Hospital,,
427,Kwahu Government Hospital,"Mpraeso-Nkawkaw, Atibie",,,EI-0123-6557,Mpraeso-Nkawkaw Atibie,Kwahu South,Eastern Region Ghana,Ghana,6.5798059,-0.7336796,3.6,209991509,+233209991509,,Https://Maps.Google.Com/?Cid=10268203047072463882,Hospital,,
428,St Joseph Hospital,"Koforidua-Nsutam Rd, Koforidua",,"Koforidua-Nsutam Rd, Koforidua",EN-032-3704,Effiduase,New Juaben,Eastern Region Ghana,Ghana,6.1012657,-0.2722979,3.9,208315404,+233208315404,,Https://Maps.Google.Com/?Cid=1038775181742370167,Hospital,,
434,Holy Family Hospital,Nkawkaw Ghana,,,EJ-0007-7332,Adoagyiri Life FM Road,Kwahu West,Eastern Region Ghana,Ghana,6.5472141,-0.7737583,4.6,544353020/0244467720/0246892711,+233544353020,,Https://Maps.Google.Com/?Cid=11038805299346898784,Hospital,,
441,Ghana-Canada Medical Centre,"Nii Afotey Brutu II Ave, Accra","P. O. BOX L 48, Legon",,GD-214-4583,"Manor Valley, Adjiringanor East Legon Accra",Adentan,Greater Accra Region,Ghana,5.6464467,-0.1237119,4,302521440/0302521442/0302521443/0302521453,+233302521440,http://ghanacanadamedicalcentre.com/,Https://Maps.Google.Com/?Cid=3665853132266034438,Hospital,,
442,Oda Government Hospital,"Onwona Agyeman Ave, Akim Oda",,Kade - Brofoyedru Road Akim Oda,EB-0013-4859,"Hospital Hill Area, New Town",Birim Central,Eastern Region Ghana,Ghana,5.9285418,-0.9859505,3.2,207227655,,,Https://Maps.Google.Com/?Cid=15643944096175890737,Hospital,,
443,Greater Accra Regional Hospital,Castle Rd Accra ,,Castle Road Accra,GA-052-7692,Opposite VALCO Trust House,Accra,Greater Accra Region Ghana,Ghana,5.5613725,-0.1986759,4,302228315/0208158550/0302228382,+233302228315,,Https://Maps.Google.Com/?Cid=12993033628800021878,Hospital,,
462,Barnor Hospital,"Link Rd, Accra ","P.O Box GP 1135,Accra","Link Road, Accra",GA-364-3425,Laterbiorkorshie,Accra,Greater Accra Region Ghana,Ghana,5.5493738,-0.2409911,4.1,302307865/0246665648,+233302307865,,Https://Maps.Google.Com/?Cid=9962288847845970846,Hospital,,
465,Valley View Clinic,"Nii Kwabena Bonnie St, Dzorwulu","P. O. Box 116, Trade Fair, Accra",Nii Kwabena Bonnie St,GA-157-8390,Dzorwulu,,Greater Accra Region Ghana,Ghana,5.6152568,-0.1983923,4.5,208140882/0302775249/0302764169,+4550836530,http://valleyviewclinic.org/about.html,Https://Maps.Google.Com/?Cid=14202770731267716749,Hospital,,
481,Adabraka Polyclinic,"Castle Road, Accra",,"Castle Road, Accra",GA-050-3303,Adabraka,Accra,Greater Accra Region Ghana,Ghana,5.5618842,-0.2051079,4.3,302226430/0302688554,+233302226430,,Https://Maps.Google.Com/?Cid=16904888390223572582,Hospital,,
484,Sinel Specialist Hospital,"Hermann Gmeiner Rd, Tema",,"Hermann Gmeiner Rd, Tema",GT-049-7716,"Tema Comm 6, Comm. 10 Junction, near Latter Day Saints",Tema,Greater Accra Region Ghana,Ghana,5.6569246,-0.0144732,4.7,302972615/0247732448/0244578820,+233302972615,http://www.sinelhospital.com/,Https://Maps.Google.Com/?Cid=15608749120602051261,Hospital,,
488,Twumasiwaa Hospital,"Agbemedaa Ave, Madina",,"Boundary Road, Otinshie, Accra",GD-134-9977,,,Greater Accra Region Ghana,Ghana,5.6596361,-0.1482333,2.8,302518933,+233302518933,,Https://Maps.Google.Com/?Cid=3705351393456025445,Hospital,,
491,Medifem Hospital & Fertility Center,"52 Blohum Rd, Accra",,"Blohum Road, Accra",GA-121-9740,Opposite Exclusive Men’s Wear,Accra,Greater Accra Region Ghana,Ghana,5.6130305,-0.2022317,3.9,302779566,+233302779566,http://medifemhospital.com/,Https://Maps.Google.Com/?Cid=7533203473602951484,Hospital,,
492,Port Medical Center,"Oninku Street, Tema",P.O.BOX CO 1593 Tema,"Oninku Street, Tema",GT-008-3298,Tema,Tema,Greater Accra Region Ghana,Ghana,5.6426292,0.0014779,4,303206879/0303205626/0545026857,+233303206879,,Https://Maps.Google.Com/?Cid=12894698579582437372,Hospital,,
495,Airport Womens Hospital,"16 Kofi Annan St, Accra ",P.O.Box CT 4057,,GA-153-1844,,Accra,Greater Accra Region Ghana,Ghana,5.6177165,-0.1788122,5,302736107,+233302736107,Http://Www.Airportwomenshospital.Com.Gh/,Https://Maps.Google.Com/?Cid=411508726904731608,Hospital,,
